Campaign,Campaign Type,Campaign Status,Campaign Daily Budget,Bid Strategy Type,Ad Group,Ad Group Status,Max CPC,Keyword,Match Type,Ad Status,Ad Type,Headline 1,Headline 2,Headline 3,Headline 4,Headline 5,Headline 6,Headline 7,Headline 8,Headline 9,Headline 10,Headline 11,Headline 12,Headline 13,Headline 14,Headline 15,Description 1,Description 2,Description 3,Description 4,Path 1,Path 2,Final URL
AZ | 1 ICBC & Car Accident,Search,Enabled,3.5,Manual CPC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AZ | 1 ICBC & Car Accident,,,,,ICBC Physiotherapy,Enabled,20.00,,,,,,,,,,,,,,,,,,,,,,,,,,
AZ | 1 ICBC & Car Accident,,,,,ICBC Physiotherapy,,,icbc physiotherapy west vancouver,Phrase,,,,,,,,,,,,,,,,,,,,,,,,
AZ | 1 ICBC & Car Accident,,,,,ICBC Physiotherapy,,,icbc physio north vancouver,Phrase,,,,,,,,,,,,,,,,,,,,,,,,
AZ | 1 ICBC & Car Accident,,,,,ICBC Physiotherapy,,,icbc physiotherapy,Phrase,,,,,,,,,,,,,,,,,,,,,,,,
AZ | 1 ICBC & Car Accident,,,,,ICBC Physiotherapy,,,icbc physio near me,Phrase,,,,,,,,,,,,,,,,,,,,,,,,
AZ | 1 ICBC & Car Accident,,,,,ICBC Physiotherapy,,,icbc active rehab north shore,Phrase,,,,,,,,,,,,,,,,,,,,,,,,
AZ | 1 ICBC & Car Accident,,,,,ICBC Physiotherapy,,,icbc physiotherapy,Exact,,,,,,,,,,,,,,,,,,,,,,,,
AZ | 1 ICBC & Car Accident,,,,,ICBC Physiotherapy,,,,,Enabled,Responsive search ad,ICBC Physio West Vancouver,ICBC: $0 Out of Pocket,ICBC Physiotherapy Clinic,Direct Billing to ICBC,"No Referral, We Bill ICBC",Up to 25 Visits Covered,Start Active Rehab Now,Same-Week ICBC Appointments,We Handle the ICBC Billing,West Vancouver Physio Team,No Referral Needed in BC,Open Until 7pm & Saturdays,Same-Week Appointments,English & Farsi Speaking,Two West Vancouver Clinics,"ICBC injury? Treatment is $0 out of pocket. We bill ICBC directly, no referral.",ICBC pre-approves up to 25 physio visits in 12 weeks. No referral needed to start.,"Physiotherapy, massage, acupuncture and more under one roof in West Vancouver.",English and Farsi speaking team. Same-week appointments across two clinics.,icbc,physio,https://azaleaphysio.com/icbc
AZ | 1 ICBC & Car Accident,,,,,Car Accident & Whiplash,Enabled,20.00,,,,,,,,,,,,,,,,,,,,,,,,,,
AZ | 1 ICBC & Car Accident,,,,,Car Accident & Whiplash,,,car accident physio west vancouver,Phrase,,,,,,,,,,,,,,,,,,,,,,,,
AZ | 1 ICBC & Car Accident,,,,,Car Accident & Whiplash,,,car accident physiotherapy,Phrase,,,,,,,,,,,,,,,,,,,,,,,,
AZ | 1 ICBC & Car Accident,,,,,Car Accident & Whiplash,,,whiplash treatment north vancouver,Phrase,,,,,,,,,,,,,,,,,,,,,,,,
AZ | 1 ICBC & Car Accident,,,,,Car Accident & Whiplash,,,whiplash physio,Phrase,,,,,,,,,,,,,,,,,,,,,,,,
AZ | 1 ICBC & Car Accident,,,,,Car Accident & Whiplash,,,icbc car accident rehab,Phrase,,,,,,,,,,,,,,,,,,,,,,,,
AZ | 1 ICBC & Car Accident,,,,,Car Accident & Whiplash,,,,,Enabled,Responsive search ad,Car Accident? Start Today,Car Accident? $0 to You,Whiplash Treatment Clinic,ICBC Car Accident Physio,We Direct Bill ICBC,No Referral to Begin,Treat Whiplash Properly,Same-Week Appointments,Start Recovery This Week,No Referral Needed in BC,Open Until 7pm & Saturdays,English & Farsi Speaking,Two West Vancouver Clinics,Book Online in Minutes,Rated 4.6 on Google,Injured in a car accident? We direct bill ICBC and can treat you the same week.,"ICBC injury? Treatment is $0 out of pocket. We bill ICBC directly, no referral.","We find the cause, not just the symptom, so relief lasts past the appointment.","Open until 7pm and Saturdays, with two West Vancouver clinics. Book online in minutes.",icbc,car-accident,https://azaleaphysio.com/icbc
AZ | 1 ICBC & Car Accident,,,,,ICBC Direct Billing,Enabled,20.00,,,,,,,,,,,,,,,,,,,,,,,,,,
AZ | 1 ICBC & Car Accident,,,,,ICBC Direct Billing,,,icbc physiotherapy direct billing,Phrase,,,,,,,,,,,,,,,,,,,,,,,,
AZ | 1 ICBC & Car Accident,,,,,ICBC Direct Billing,,,icbc direct billing physio,Phrase,,,,,,,,,,,,,,,,,,,,,,,,
AZ | 1 ICBC & Car Accident,,,,,ICBC Direct Billing,,,physio that bills icbc,Phrase,,,,,,,,,,,,,,,,,,,,,,,,
AZ | 1 ICBC & Car Accident,,,,,ICBC Direct Billing,,,direct billing icbc west vancouver,Phrase,,,,,,,,,,,,,,,,,,,,,,,,
AZ | 1 ICBC & Car Accident,,,,,ICBC Direct Billing,,,direct billing physiotherapy west vancouver,Phrase,,,,,,,,,,,,,,,,,,,,,,,,
AZ | 1 ICBC & Car Accident,,,,,ICBC Direct Billing,,,direct billing physio north vancouver,Phrase,,,,,,,,,,,,,,,,,,,,,,,,
